,AAPL,ABC,ABEV,ACI,ACN,ADBE,ADI,ADM,ADP,ADSK,AGR,ALE,AMAT,AMD,AMZN,APH,ATO,ATVI,AVA,AVGO,AWK,BG,BTI,BYND,CAG,CASY,CCEP,CDNS,CHD,CL,CLX,CNP,CPB,CRM,CRWD,CSCO,CTSH,CTVA,CVS,CWEN,DAR,DDOG,DEO,DTE,DUK,EA,EBAY,EIX,EL,ES,ETR,EVRG,EXC,FB,FIS,FISV,FLO,FMX,FRPT,FTNT,GIS,GO,GOOGL,GPN,HAIN,HE,HLF,HPQ,HRL,HSY,IBM,IDA,IFF,INGR,INTC,INTU,K,KDP,KEYS,KHC,KLAC,KMB,KO,KR,LNT,LRCX,LW,MA,MCHP,MCK,MDLZ,MDU,MGEE,MKC,MNST,MO,MRVL,MSEX,MSFT,MSI,MU,NEE,NEP,NEW,NFG,NFLX,NI,NJR,NOVA,NOW,NVDA,NWN,NXPI,OGE,OGS,OLPX,ORA,ORCL,OTTR,PANW,PAYX,PCG,PEG,PEP,PG,PM,PNM,POR,POST,PPC,PPL,PYPL,QCOM,REYN,SAM,SEB,SHOP,SJI,SJM,SJW,SNAP,SNOW,SNPS,SO,SPB,SPY,SQ,SR,STZ,SWX,SYY,TAP,TEL,TSN,TWLO,TXN,UGI,UL,USFD,UTL,V,VST,WBA,WDAY,WEC,WTRG,XEL,XLNX,YORW,ZM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-08 00:00:00-05:00,175.01,120.87,2.87,31.84,374.53,653.39,186.27,64.12,234.41,276.31,50.95,62.87,157.3,145.24,3521.58,83.54,94.4,59.27,40.44,588.86,176.76,86.98,35.57,74.13,31.72,187.51,53.77,184.2,95.01,77.76,167.73,27.63,41.84,266.25,209.18,57.02,81.21,48.11,93.1,36.99,67.68,183.16,211.91,114.53,100.86,126.38,67.155,66.84,355.96,87.35,105.5,66.93,53.41,330.51,108.34,103.95,26.0,71.39,108.42,322.54,64.22,27.58,2963.83,130.12,38.36,40.46,38.1,36.715,42.79,183.21,122.99,108.96,148.21,97.2,51.76,673.06,62.0,34.81,202.1,33.15,421.28,136.89,54.99,42.81,58.33,713.83,57.06,342.34,87.34,226.78,60.85,28.65,77.0,88.64,88.93,44.51,91.29,103.13,334.96,253.68,86.02,90.31,85.12,0.3728,62.54,627.94,25.82,40.27,32.99,665.45,318.26,46.38,228.08,36.07,70.54,26.42,79.37,88.94,66.73,530.32,123.04,12.63,63.9,166.51,152.37,89.89,45.62,51.11,101.97,28.04,29.17,197.37,182.68,29.795,503.02,3899.99,1521.0,24.99,129.89,69.27,53.43,370.25,364.59,64.75,99.9,469.54,194.71,63.65,234.62,70.13,73.51,46.11,158.87,83.53,274.91,196.36,44.85,53.0,34.07,44.17,209.2,21.2,48.49,282.31,92.56,50.5,67.09,224.65,48.395,195.13
2021-12-09 00:00:00-05:00,174.62,121.71,2.79,30.5,371.47,632.69,183.655,63.29,232.68,267.66,49.19,62.25,152.64,138.08,3483.15,83.135,95.25,59.07,40.31,583.48,175.82,85.48,35.64,70.1,31.87,181.89,52.98,179.62,95.56,78.0,166.91,27.54,42.18,264.23,201.23,57.56,80.99,48.03,97.3,35.75,65.2,175.22,208.07,115.2,100.32,125.0,66.59,66.51,355.83,87.53,106.25,66.42,53.14,329.82,105.0,103.53,25.74,71.02,103.85,316.42,63.97,27.51,2952.77,127.45,38.99,40.31,37.32,36.15,44.82,183.49,123.58,108.76,147.48,96.35,50.48,665.49,62.02,34.6,200.58,33.46,409.18,135.59,54.85,43.67,58.14,699.31,56.71,344.43,86.63,230.77,60.98,28.63,76.45,88.72,88.29,44.59,90.03,100.28,333.08,259.28,84.93,89.92,85.88,0.362,62.07,610.99,25.84,39.74,32.02,642.18,304.79,46.54,225.09,35.83,70.7,26.94,77.97,88.74,66.31,527.52,122.25,12.49,63.73,166.32,153.37,89.49,44.94,50.65,100.75,28.15,28.6,191.75,182.27,29.53,508.02,3887.81,1495.2898,24.62,130.65,68.73,52.36,361.37,354.41,64.58,97.85,466.34,186.62,62.69,233.5,68.48,73.87,45.57,157.21,83.76,268.3,193.39,44.49,52.9,32.955,44.05,211.36,20.89,49.18,279.35,92.8,50.16,66.8,215.02,47.39,188.26
2021-12-10 00:00:00-05:00,179.5,123.15,2.81,30.74,379.36,654.76,183.46,63.43,236.72,268.99,48.2,62.92,152.79,138.55,3444.99,84.27,95.73,58.6,40.84,632.09,176.11,86.9,36.72,64.51,32.09,187.75,53.47,184.23,95.65,79.475,168.52,27.87,43.14,265.97,198.62,59.25,82.11,47.95,98.86,35.24,63.31,174.65,209.94,116.21,101.5,125.63,66.88,67.06,361.39,87.89,107.41,66.93,53.9,329.73,104.46,103.19,25.92,70.99,104.27,332.63,64.77,27.87,2959.97,125.81,38.995,40.51,37.37,36.43,46.01,186.51,124.1,109.19,147.12,96.36,50.59,678.02,62.62,35.32,201.89,34.15,410.72,136.08,56.27,44.61,58.87,706.0,57.05,349.91,87.16,233.12,62.26,28.58,76.7,90.51,89.57,45.09,89.08,100.65,342.23,264.95,85.54,90.29,85.27,0.325,62.045,611.67,25.93,39.79,32.93,647.26,302.02,46.97,226.42,35.93,72.5621,27.52,77.69,102.63,67.37,531.95,124.25,12.34,63.78,168.96,155.46,90.05,45.55,50.76,102.11,28.09,28.73,188.47,183.93,29.72,511.66,3841.38,1460.06,24.63,132.88,68.84,50.82,370.84,362.36,65.08,97.57,470.72,181.19,63.15,235.33,68.75,73.68,46.24,160.36,84.11,264.43,196.01,45.75,53.24,32.7,44.39,213.38,21.03,49.5,279.71,93.47,50.43,66.49,217.27,47.28,185.25
2021-12-13 00:00:00-05:00,175.825,122.7,2.8,31.34,378.88,660.54,178.5,64.83,235.0,269.04,48.25,62.83,147.04,133.74,3391.22,83.77,97.49,58.745,41.43,623.79,180.97,87.83,36.505,63.08,32.54,191.605,53.27,184.52,97.88,81.13,172.06,28.07,43.72,265.83,198.74,58.615,82.19,46.655,98.9,35.61,63.42,172.03,209.12,117.22,103.23,126.82,66.735,67.21,360.44,89.63,107.925,67.6,54.195,334.54,104.76,104.37,26.35,69.92,102.965,332.29,66.05,28.125,2920.64,127.0,40.54,41.02,37.5,35.265,47.28,188.7,122.6801,111.63,146.5,94.67,50.0,670.69,63.49,35.395,204.07,34.523,400.83,139.25,57.865,45.575,59.99,686.92,56.75,345.48,85.21,231.59,63.445,28.55,78.56,93.1,90.13,45.385,87.35,102.26,339.44,264.58,84.43,91.75,86.535,0.4189,61.61,604.56,26.27,40.06,32.54,658.215,281.5,47.2,222.39,36.35,73.48,26.16,80.94,100.89,67.38,537.8175,124.4,12.27,65.46,169.85,157.7768,91.96,45.2,50.93,102.55,28.095,28.96,186.97,183.32,30.0,534.54,3866.0,1398.0,24.86,134.51,69.71,48.12,354.885,363.37,66.355,96.58,466.61,175.71,63.16,237.44,68.47,73.5,46.03,158.575,85.25,260.19,194.37,45.32,53.125,31.83,44.3,211.1,20.74,49.15,281.66,95.13,50.97,67.48,209.7,48.5,184.83
2021-12-14 00:00:00-05:00,174.34,123.31,2.83,30.26,369.78,614.88,176.28,64.86,229.72,263.23,48.18,62.76,147.75,135.61,3381.84,82.48,97.14,59.53,41.05,614.98,179.29,87.05,35.96,69.31,32.5,190.91,53.44,176.18,97.91,82.13,172.72,27.8,43.08,255.65,198.71,57.77,81.89,46.31,98.81,34.89,63.73,161.0,208.41,117.42,102.8,126.95,65.85,66.36,356.83,89.26,107.3,67.22,53.86,333.79,106.84,104.23,26.37,72.11,99.72,316.08,65.95,28.41,2878.12,128.29,40.92,41.33,37.52,35.6,47.89,187.68,123.78,110.08,145.68,95.37,49.74,639.48,63.37,35.07,198.07,34.79,399.7,138.1,57.83,45.58,59.57,679.35,56.9,340.47,84.92,229.54,63.4,28.6,77.66,91.58,90.39,45.42,85.3,100.08,328.48,259.54,83.33,90.03,85.3,0.3402,62.63,598.29,26.21,39.31,29.02,624.37,283.42,46.35,219.97,36.33,72.59,26.19,77.8,99.9,67.36,512.48,122.48,12.165,64.53,169.39,158.28,92.02,45.24,50.67,101.815,28.21,28.83,186.8,182.01,29.99,518.5,3801.75,1354.64,24.44,135.22,68.71,46.85,350.71,345.95,65.99,95.76,463.39,170.65,62.35,236.82,68.43,73.53,45.88,157.07,85.79,255.71,190.38,44.77,53.03,31.79,44.64,209.99,20.77,49.355,273.3,94.78,50.78,67.39,209.84,47.11,181.89
2021-12-15 00:00:00-05:00,179.3,123.76,2.8,30.18,375.34,630.6,179.43,65.08,233.91,271.73,48.43,64.45,153.66,146.53,3466.93,84.36,98.54,60.26,41.62,639.86,182.29,87.78,35.88,66.86,32.92,191.33,53.54,184.28,99.13,82.76,176.15,28.08,43.49,259.82,210.74,59.96,82.91,46.09,100.53,35.09,62.89,170.9075,209.99,119.6,103.81,128.9,65.6,67.28,365.27,90.91,109.84,67.83,54.69,341.65,106.82,103.66,26.71,73.05,98.05,336.45,67.34,28.47,2929.55,128.09,41.73,42.18,38.4,36.26,48.61,189.77,123.11,112.33,145.0,95.68,50.67,647.57,63.5,35.65,203.93,34.88,410.01,138.28,58.055,46.22,60.5,697.94,57.21,346.34,88.0,232.21,64.8,29.73,79.85,92.21,91.2,45.95,88.42,101.64,334.66,262.57,85.67,91.97,86.88,0.3359,63.14,604.87,26.6,40.37,30.62,646.99,304.82,47.66,229.13,37.04,74.37,26.97,78.94,103.63,69.66,540.1025,125.31,12.27,65.57,171.57,158.86,92.73,45.56,51.83,103.02,28.3,29.27,190.67,189.41,30.64,524.58,3749.0,1366.26,25.16,134.73,70.4,46.42,359.99,361.31,66.74,97.07,470.58,173.8,63.54,241.07,69.37,74.56,44.91,160.72,85.91,261.46,193.44,45.11,52.7,32.61,45.63,212.25,20.7,49.66,279.27,97.0,51.4,68.83,217.89,48.43,183.72
2021-12-16 00:00:00-05:00,172.25,123.91,2.795,30.61,399.95,565.94,172.52,66.17,231.85,269.61,48.47,64.68,146.69,138.64,3375.94,83.54,100.32,61.48,42.23,620.64,182.84,88.28,37.09,66.15,34.4,190.01,53.69,179.62,101.53,83.94,178.11,27.97,44.17,253.28,200.4,60.31,84.7,46.97,101.18,35.43,63.34,164.06,210.29,120.32,104.55,129.34,64.04,67.96,362.73,90.91,110.68,68.12,54.36,334.88,108.45,104.82,27.24,73.9,95.43,322.99,68.86,28.6,2890.81,126.84,41.57,42.11,38.68,36.69,49.18,192.09,125.93,111.41,145.92,96.6,50.83,634.0,65.77,35.7,198.52,36.0,397.08,141.81,58.64,45.9,60.98,671.63,57.22,352.9,84.53,232.38,65.67,29.57,79.65,94.65,91.61,47.34,83.61,103.92,324.9,261.68,82.7,92.25,86.845,0.3251,62.25,590.76,26.91,39.78,27.46,609.38,283.85,48.42,217.85,37.03,75.18,25.32,78.42,103.16,68.26,523.52,124.71,12.23,65.61,171.84,161.08,94.36,45.09,52.57,104.43,28.09,29.47,188.74,178.14,31.07,510.84,3753.24,1326.82,25.17,138.88,70.89,44.63,324.89,352.9,67.56,97.6,466.43,165.85,63.35,241.53,69.78,74.0,45.0,160.04,86.19,260.82,188.31,44.95,53.29,31.95,45.54,214.31,20.93,49.26,272.31,98.34,50.91,68.96,199.77,48.26,182.35
2021-12-17 00:00:00-05:00,170.86,125.2,2.81,30.83,396.61,556.61,169.96,65.28,229.32,277.66,47.92,63.92,146.21,137.76,3400.34,82.48,98.82,61.36,41.0,635.05,183.08,88.07,37.36,69.1,34.58,192.98,53.56,178.98,98.1,82.48,174.2,26.97,43.1,252.96,205.1,60.52,84.78,46.07,100.33,35.19,64.54,170.06,210.89,116.6,103.03,127.45,64.0,66.7,345.92,89.4,109.49,66.89,53.5,334.05,108.01,103.64,27.07,76.31,92.295,334.17,67.65,28.77,2833.53,128.11,41.48,40.21,39.92,36.57,48.18,187.63,127.39,109.78,144.41,95.32,50.58,620.22,64.46,35.7,197.01,35.5,391.55,139.39,57.98,44.7841,59.75,668.72,58.09,349.3,84.18,232.98,64.94,29.24,78.59,94.07,91.49,48.25,83.75,108.16,323.65,259.02,83.0,90.93,85.05,0.318,62.07,585.86,26.87,40.29,27.845,618.47,277.87,47.69,218.4578,36.85,75.43,23.95,76.54,96.61,67.13,531.07,123.85,12.01,64.1,168.18,157.51,93.44,45.03,51.86,105.98,27.86,29.55,186.1,176.79,30.2,531.31,3865.0,1323.76,25.23,136.4,71.44,45.27,332.2,347.93,66.84,96.45,459.86,167.06,63.88,241.99,70.46,72.11,44.74,156.4,85.42,273.8,186.13,44.87,52.69,31.631,45.13,211.83,21.23,48.84,273.76,96.29,51.5,66.97,199.99,49.28,199.74
2021-12-20 00:00:00-05:00,169.88,126.06,2.67,30.0,385.91,549.96,168.35,64.22,229.4,275.38,48.07,63.66,145.04,135.84,3341.96,81.17,99.32,61.82,40.75,645.23,182.62,85.85,37.351,65.27,34.32,191.58,52.08,177.39,98.85,82.52,176.62,27.0,43.23,247.32,206.3,60.36,82.92,44.77,100.32,34.15,61.91,164.39,211.79,117.15,103.69,129.97,63.79,67.13,345.48,89.67,109.47,66.91,53.42,325.62,104.69,100.57,27.06,76.14,90.83,330.91,67.8,28.75,2832.34,123.66,41.305,40.39,39.61,36.14,48.48,187.86,127.06,110.18,142.32,93.64,49.6,605.1,64.35,35.485,194.24,35.27,385.38,141.33,57.55,45.51,59.94,661.21,59.04,337.29,82.61,234.45,64.79,28.81,78.48,93.91,91.66,48.12,84.16,109.1,320.17,255.9,82.07,89.95,83.1,0.3089,62.4,593.96,27.04,40.33,25.2,605.59,277.16,48.05,217.75,36.91,75.43,25.05,74.09,91.66,67.38,530.34,123.79,11.98,64.11,169.45,157.86,92.9,44.87,52.18,104.62,27.61,29.49,182.73,176.74,30.32,537.85,3832.0,1283.1227,25.39,135.05,71.19,44.4,331.04,346.46,67.13,95.27,454.99,158.3,64.46,239.48,71.83,71.22,43.4,153.08,84.85,268.56,184.24,44.54,52.53,31.35,45.09,208.73,21.08,48.84,269.7,96.28,51.39,67.13,196.26,48.46,197.97
2021-12-21 00:00:00-05:00,172.98,127.65,2.66,29.85,392.97,557.51,172.08,64.83,231.89,280.34,47.95,64.26,151.41,144.2698,3407.74,83.05,99.48,63.59,40.39,646.2,181.25,88.31,37.5652,70.24,33.83,191.92,53.33,182.93,98.41,82.09,171.19,27.31,42.32,252.48,210.3,61.04,85.21,45.83,100.8,35.26,63.85,177.49,214.1,116.5,103.03,132.17,63.7,67.24,352.78,88.98,109.25,66.28,53.94,334.25,109.92,105.2,27.065,75.22,97.2,339.19,65.07,28.5,2869.04,131.84,41.43,40.51,40.24,37.03,47.51,187.39,128.98,109.42,142.69,95.6,50.76,621.07,62.64,35.31,197.56,35.0,409.4,139.32,57.77,43.88,59.4,683.26,61.21,350.83,85.32,236.09,64.32,29.24,78.09,93.05,92.79,47.78,86.285,110.66,327.37,261.6,90.685,90.45,83.56,0.3182,62.75,604.7,26.83,40.13,27.06,631.78,290.86,47.84,224.38,36.98,74.38,24.92,74.94,91.52,68.7,537.64,126.44,12.07,64.32,168.9,157.76,93.05,44.81,51.8,105.74,27.81,29.42,189.16,179.59,30.36,527.07,3872.8,1371.21,25.34,131.92,69.73,46.12,354.81,359.29,66.41,98.12,463.035,170.4,63.54,241.36,72.0,74.5,44.54,156.79,85.25,277.12,186.36,45.3,52.28,32.96,44.7,215.46,21.82,49.94,278.79,94.75,51.97,66.34,206.44,48.44,199.39
2021-12-22 00:00:00-05:00,175.63,127.71,2.73,29.79,403.69,564.27,172.29,64.6,237.7,282.76,48.36,64.43,152.32,143.87,3421.08,83.99,102.12,64.1,41.23,655.34,183.44,88.99,37.06,68.66,33.45,192.08,53.715,186.59,99.39,82.455,170.77,27.47,41.97,252.8,207.61,61.54,85.91,45.93,100.87,35.92,64.38,179.71,216.61,116.69,103.16,131.49,63.94,67.63,361.78,89.35,109.95,66.64,54.39,330.52,110.0,106.19,27.06,75.03,90.89,348.46,65.7,27.9,2928.43,134.82,41.619,40.66,40.2,37.27,47.69,188.88,129.75,109.81,142.22,94.86,50.97,631.98,62.78,35.87,200.6,35.11,413.21,139.2,58.17,43.52,59.6,691.22,60.96,357.43,86.36,236.48,64.83,29.42,79.34,93.39,93.48,46.87,88.32,113.51,333.26,264.59,90.33,90.8,83.16,0.3226,63.12,614.48,26.91,40.43,26.37,644.04,294.14,48.33,226.82,37.2,74.95,25.68,75.29,89.85,69.24,554.84,133.47,12.02,64.59,169.97,159.32,92.92,44.96,52.09,106.4,27.89,29.41,191.7,181.37,30.41,521.35,3843.99,1385.635,25.76,133.14,70.43,46.77,358.72,364.83,66.64,98.14,467.69,167.4,64.12,243.16,71.53,75.27,44.66,156.75,84.92,268.96,186.95,45.32,52.45,33.91,45.28,217.95,22.32,50.41,278.07,94.77,52.56,66.73,215.17,48.92,193.13
2021-12-23 00:00:00-05:00,176.29,129.53,2.745,29.9,403.3,569.6,172.66,65.44,242.0,280.87,48.82,64.61,155.49,146.08,3419.77,85.06,102.72,65.16,41.28,664.47,182.03,90.17,37.06,67.85,33.33,194.7,55.24,187.43,99.52,82.79,169.83,27.52,41.96,253.15,211.56,62.25,86.28,46.445,101.31,35.79,64.5,180.42,217.07,116.82,102.97,132.54,64.88,67.66,365.88,89.44,110.09,66.76,54.49,335.16,109.05,105.52,26.89,75.39,93.0,349.03,65.99,28.065,2938.19,135.32,41.63,40.31,40.17,37.63,47.77,188.44,130.63,109.23,143.09,94.8,51.3,635.71,62.86,35.91,201.35,35.25,420.57,138.88,58.22,43.2,59.54,698.72,61.74,360.59,86.93,240.72,64.93,29.49,78.77,93.01,93.84,46.69,87.6794,112.54,334.49,262.9,94.39,90.69,82.86,0.3503,63.12,614.095,26.88,40.47,26.78,648.57,296.38,48.28,227.35,37.21,75.71,26.81,73.68,89.7,68.87,562.12,134.23,12.0,64.57,169.78,160.11,92.92,45.06,51.31,107.05,27.52,29.42,191.98,182.74,30.29,525.73,3930.99,1440.32,25.79,132.99,70.22,48.68,349.06,366.4,66.54,98.87,470.58,167.76,64.23,244.0,71.28,76.64,45.59,158.46,85.21,267.46,187.38,45.5,52.82,34.56,45.06,216.64,22.03,50.49,278.04,94.65,52.22,66.58,216.1,48.32,191.65
2021-12-27 00:00:00-05:00,180.33,131.9,2.74,29.53,415.28,577.75,175.42,66.09,246.3,284.29,48.45,64.95,162.72,154.35,3393.71,86.94,104.05,65.46,41.3,674.28,183.61,91.04,37.0,66.75,33.43,193.6,55.61,191.59,100.35,83.91,170.95,27.58,42.18,258.38,209.62,63.44,88.09,47.01,102.41,35.82,66.34,183.59,219.96,117.9,103.31,132.99,65.68,67.63,369.28,89.23,110.84,67.48,54.8,346.19,108.4,103.92,27.12,76.88,94.84,367.68,66.06,28.42,2957.07,133.59,41.94,40.69,40.74,38.12,47.98,189.93,131.63,110.27,145.24,95.82,51.94,652.93,63.27,36.115,207.88,35.421,440.16,139.8,58.65,43.74,60.0,723.51,61.75,360.43,89.35,245.39,65.52,29.8,79.41,94.15,94.78,46.81,90.85,113.71,342.45,269.04,94.425,91.34,83.3,0.3576,63.88,613.1,27.08,40.8,26.29,663.48,309.5,48.36,232.77,37.5,76.25,26.85,74.93,89.5385,68.74,567.86,135.62,11.91,65.07,171.49,161.97,93.54,45.11,51.71,107.8,27.79,29.54,192.0,186.37,30.55,511.57,3906.02,1400.01,25.86,133.9,70.57,48.65,352.09,375.6,66.97,101.77,477.27,168.48,64.45,246.84,70.16,77.51,45.68,162.79,86.16,262.34,191.87,45.71,53.255,34.88,45.41,217.6521,22.18,50.72,279.35,95.29,52.56,66.82,222.94,48.53,187.33
2021-12-28 00:00:00-05:00,179.39,132.41,2.73,29.83,415.27,569.56,174.42,66.95,246.19,282.79,49.35,65.66,159.64,153.19,3413.22,87.14,103.43,66.7,41.31,669.26,186.15,91.71,37.17,66.37,33.94,196.78,55.75,190.18,100.15,84.46,171.94,27.85,43.38,255.52,207.33,63.55,88.74,47.39,102.83,35.55,66.5,177.42,219.64,118.75,104.58,133.47,66.09,68.21,368.02,90.09,111.91,68.31,55.63,346.22,109.3,104.67,27.44,76.79,93.74,366.18,66.87,28.61,2935.19,135.2,42.22,41.25,40.17,37.95,48.435,190.95,132.65,111.43,147.48,97.35,51.77,650.05,63.96,36.37,206.96,35.88,432.12,139.81,58.89,44.425,60.69,715.96,62.22,360.72,88.02,246.49,66.03,30.38,79.43,94.97,94.7,47.4,87.93,113.72,341.25,269.7,92.95,91.89,83.19,0.3399,64.12,610.91,27.35,40.62,26.04,654.22,303.22,48.34,231.02,37.83,75.75,26.35,75.55,88.67,68.92,564.42,135.84,12.07,65.59,172.4,162.88,93.87,45.59,52.4,110.72,27.97,29.78,190.2,184.89,30.68,502.5,3965.0,1376.499,25.63,135.19,70.79,47.71,340.18,372.15,67.74,101.61,476.89,163.755,64.46,249.06,69.89,78.33,45.78,162.59,86.68,259.35,191.12,45.72,53.54,34.81,45.48,218.07,22.05,51.44,275.81,96.5,53.02,67.62,220.27,48.83,183.77
2021-12-29 00:00:00-05:00,179.38,133.36,2.71,30.06,415.33,569.28,175.45,67.01,247.96,282.57,49.94,66.21,160.98,148.2565,3383.01,87.94,104.85,67.16,41.87,672.21,187.44,92.19,37.3,63.26,33.885,198.95,56.17,189.88,100.97,84.92,171.38,27.95,43.21,254.55,206.84,63.97,89.58,47.36,103.73,35.61,67.84,179.55,221.88,119.4,104.77,133.12,66.46,68.44,370.09,90.61,112.45,68.52,56.65,342.89,109.28,104.27,27.43,77.44,93.35,367.03,67.03,28.35,2933.1,134.23,42.18,41.45,40.82,37.98,48.53,191.83,133.36,112.45,148.98,97.05,51.82,647.87,63.89,36.59,207.29,35.81,434.81,141.08,58.94,44.71,61.11,726.59,62.67,361.3,88.24,248.43,66.37,30.75,80.14,95.6,95.82,47.4,88.54,116.63,341.96,272.69,96.165,91.99,82.4,0.526407,64.47,610.54,27.69,41.16,27.05,654.58,299.97,48.74,230.36,38.12,76.81,26.955,75.75,88.22,70.42,564.19,137.38,11.99,65.98,172.93,164.19,94.31,45.66,52.9,112.29,28.18,29.785,189.9406,186.18,30.77,502.0,3928.02,1392.08,25.89,135.11,72.17,47.06,344.39,373.45,68.07,100.8,477.46,161.84,64.85,249.77,69.6,77.93,45.94,162.42,86.45,257.74,190.79,45.83,53.615,34.77,46.32,218.17,21.87,52.26,275.76,96.93,53.46,67.96,217.74,49.49,181.88
2021-12-30 00:00:00-05:00,178.25,133.79,2.76,30.17,413.95,570.18,174.78,66.9,245.53,281.71,50.23,66.13,157.95,145.09,3372.9,87.02,104.48,67.51,42.35,665.59,187.98,92.06,37.24,67.39,33.88,195.82,55.51,188.14,101.43,84.59,172.37,27.83,43.15,255.27,208.97,63.61,88.94,47.13,103.68,35.72,67.87,178.93,219.37,119.3,104.78,134.47,66.79,67.63,367.39,91.14,111.65,68.45,57.35,344.4,109.99,104.47,27.42,77.34,95.94,359.79,67.05,28.25,2924.03,136.31,42.37,41.61,41.27,37.75,48.57,191.31,133.92,113.05,148.54,96.51,51.75,643.38,63.94,36.68,206.8,35.66,427.45,141.49,58.78,45.15,61.47,718.33,63.03,361.04,87.08,248.9,65.76,30.75,81.36,95.585,95.39,47.26,87.44,118.91,339.32,271.01,93.88,92.78,83.42,0.4276,63.78,612.09,27.55,40.97,27.48,654.54,295.88,48.72,228.6,38.24,77.47,28.62,78.215,88.02,70.68,561.71,136.45,12.07,66.33,172.67,162.78,94.27,45.85,52.72,111.65,27.88,29.95,191.88,182.84,31.19,513.96,3931.0,1399.51,26.11,135.34,72.59,48.02,340.63,370.8106,68.37,100.08,476.15,165.29,64.97,249.39,70.0,78.01,45.91,160.6,86.35,265.32,189.48,45.9,53.58,34.74,46.47,217.93,22.4,51.99,276.49,97.13,53.48,68.23,213.89,49.49,190.5
2021-12-31 00:00:00-05:00,177.61,132.94,2.795,30.2,414.62,567.1,175.84,67.6,246.58,281.21,49.88,66.35,157.31,143.93,3334.72,87.46,104.77,66.51,42.51,665.52,188.85,93.37,37.42,65.13,34.15,197.36,55.93,186.35,102.52,85.34,174.3804,27.91,43.46,254.11,204.75,63.38,88.74,47.29,103.16,36.03,69.29,178.12,220.1,119.56,104.9,131.89,66.52,68.25,370.3,91.0,112.64,68.6,57.81,336.35,109.17,103.75,27.46,77.74,95.23,359.4,67.38,28.27,2897.04,135.19,42.61,41.49,40.92,37.66,48.81,193.52,133.65,113.35,150.66,96.64,51.5,643.09,64.43,36.86,206.47,35.915,430.11,142.93,59.22,45.25,61.48,719.15,63.38,359.37,87.09,248.69,66.31,30.82,82.18,96.61,96.0,47.4,87.57,120.4,336.21,271.69,93.12,93.37,84.42,0.3901,63.93,602.69,27.61,41.08,27.96,649.42,294.21,48.78,227.78,38.37,77.57,29.1,79.32,87.21,71.395,556.22,136.55,12.15,66.75,173.73,163.57,95.01,45.62,52.93,112.74,28.2,30.06,188.66,182.89,31.4,505.07,3945.0,1377.98,26.11,135.82,73.2,47.03,338.75,368.49,68.58,101.67,474.89,161.51,65.19,250.98,70.13,78.56,46.36,161.37,87.16,263.34,188.47,45.91,53.785,34.81,45.96,216.69,22.77,52.16,273.18,97.08,53.69,67.7,212.05,49.82,183.85
2022-01-03 00:00:00-05:00,182.0,132.65,2.72,29.39,407.29,564.37,177.14,67.92,244.01,283.72,49.64,66.41,159.93,150.27,3407.58,86.5,105.02,67.41,42.27,663.32,184.13,93.72,37.97,64.86,34.06,197.31,56.33,183.16,101.71,84.59,174.93,27.62,43.74,255.46,198.34,63.16,89.57,46.9,104.15,35.96,69.86,163.94,220.99,119.18,103.49,134.97,66.8,67.49,370.29,89.13,111.4,68.17,57.1,338.57,113.88,107.61,27.48,77.44,94.91,333.11,67.26,28.53,2899.5,141.71,42.65,41.25,41.98,38.01,49.15,193.26,136.03,111.87,149.1,97.12,53.21,631.46,64.7,36.71,202.66,36.14,435.28,142.45,59.3,45.18,60.87,725.47,63.9,370.93,88.04,248.1,65.96,30.67,81.1,95.8,96.54,47.96,89.43,119.07,334.74,267.42,95.76,91.7,83.74,0.386,63.96,597.37,27.54,40.86,28.8,630.54,301.25,48.74,231.29,37.98,77.14,29.42,78.51,87.91,69.6,543.94,134.5,12.215,66.16,172.97,162.92,95.76,45.43,52.62,112.85,28.1,30.14,194.9,186.21,31.43,520.2,3898.04,1363.51,26.27,136.84,72.75,46.57,332.01,361.05,68.18,101.91,477.76,164.09,65.25,252.76,68.83,78.95,47.36,161.03,87.81,262.12,190.59,45.64,54.06,35.61,45.64,221.48,22.74,53.06,263.82,96.09,53.13,67.95,221.37,49.21,184.37
